x;absoluteError;relativeError;computation time (milliseconds)
-0,99;0;не число;0
-0,98;2,22044604925031E-16;1;0
-0,97;1,11022302462516E-16;1;0
-0,96;0;не число;0
-0,95;1,11022302462516E-16;1;0
-0,94;1,11022302462516E-16;1;0
-0,93;2,22044604925031E-16;1;0
-0,92;1,11022302462516E-16;1;0
-0,91;1,11022302462516E-16;1;0
-0,9;1,11022302462516E-16;1;0
-0,89;0;не число;0
-0,88;0;не число;0
-0,87;0;не число;0
-0,86;1,11022302462516E-16;1;0
-0,85;1,11022302462516E-16;1;0
-0,84;0;не число;0
-0,83;2,22044604925031E-16;1;0
-0,82;1,11022302462516E-16;1;0
-0,81;2,22044604925031E-16;1;0
-0,8;1,11022302462516E-16;1;0
-0,79;1,11022302462516E-16;1;0
-0,78;2,22044604925031E-16;1;0
-0,77;0;не число;0
-0,76;0;не число;0
-0,75;1,11022302462516E-16;1;0
-0,74;0;не число;0
-0,73;1,11022302462516E-16;1;0
-0,72;1,11022302462516E-16;1;0
-0,71;1,11022302462516E-16;1;0
-0,7;2,22044604925031E-16;1;0
-0,69;1,11022302462516E-16;1;0
-0,68;1,11022302462516E-16;1;0
-0,67;2,22044604925031E-16;1;0
-0,66;1,11022302462516E-16;1;0
-0,65;0;не число;0
-0,64;2,22044604925031E-16;1;0
-0,63;0;не число;0
-0,62;1,11022302462516E-16;1;0
-0,61;1,11022302462516E-16;1;0
-0,6;2,22044604925031E-16;1;0
-0,59;0;не число;0
-0,58;1,11022302462516E-16;1;0
-0,57;5,55111512312578E-17;1;0
-0,56;1,11022302462516E-16;1;0
-0,55;5,55111512312578E-17;1;0
-0,54;1,66533453693773E-16;1;0
-0,53;5,55111512312578E-17;1;0
-0,52;5,55111512312578E-17;1;0
-0,51;0;не число;0
-0,5;0;не число;0
-0,49;0;не число;0
-0,48;5,55111512312578E-17;1;0
-0,47;1,11022302462516E-16;1;0
-0,46;5,55111512312578E-17;1;0
-0,45;5,55111512312578E-17;1;0
-0,44;0;не число;0
-0,43;5,55111512312578E-17;1;0
-0,42;1,11022302462516E-16;1;0
-0,41;1,11022302462516E-16;1;0
-0,4;0;не число;0
-0,39;1,11022302462516E-16;1;0
-0,38;1,11022302462516E-16;1;0
-0,37;5,55111512312578E-17;1;0
-0,36;5,55111512312578E-17;1;0
-0,35;5,55111512312578E-17;1;0
-0,34;1,11022302462516E-16;1;0
-0,33;0;не число;0
-0,32;5,55111512312578E-17;1;0
-0,31;5,55111512312578E-17;1;0
-0,3;1,11022302462516E-16;1;0
-0,29;1,11022302462516E-16;1;0
-0,28;1,11022302462516E-16;1;0
-0,27;0;не число;0
-0,26;5,55111512312578E-17;1;0
-0,25;2,77555756156289E-17;1;0
-0,24;0;не число;0
-0,23;1,38777878078145E-16;1;0
-0,22;0;не число;0
-0,21;8,32667268468867E-17;1;0
-0,2;1,11022302462516E-16;1;0
-0,19;8,32667268468867E-17;1;0
-0,18;2,77555756156289E-17;1;0
-0,17;0;не число;0
-0,16;0;не число;0
-0,15;2,77555756156289E-17;1;0
-0,14;2,77555756156289E-17;1;0
-0,13;1,66533453693773E-16;1;0
-0,12;4,16333634234434E-17;1;0
-0,11;5,55111512312578E-17;1;0
-0,1;0;не число;0
-0,09;8,32667268468867E-17;1;0
-0,08;1,38777878078145E-17;1;0
-0,07;2,77555756156289E-17;1;0
-0,0599999999999999;3,46944695195361E-17;1;0
-0,0499999999999999;3,46944695195361E-17;1;0
-0,04;2,08166817117217E-17;1;0
-0,03;1,00613961606655E-16;1;0
-0,02;1,04083408558608E-16;1;0
-0,01;1,21430643318376E-17;1;0
0;6,12303176911189E-17;1;0
0,01;1,11022302462516E-16;1;0
0,02;2,08166817117217E-17;1;0
0,03;2,08166817117217E-17;1;0
0,04;9,71445146547012E-17;1;0
0,05;2,08166817117217E-17;1;0
0,0600000000000001;2,08166817117217E-17;1;0
0,0700000000000001;4,16333634234434E-17;1;0
0,0800000000000001;0;не число;0
0,0900000000000001;1,52655665885959E-16;1;0
0,1;1,38777878078145E-17;1;0
0,11;5,55111512312578E-17;1;0
0,12;5,55111512312578E-17;1;0
0,13;5,55111512312578E-17;1;0
0,14;0;не число;0
0,15;5,55111512312578E-17;1;0
0,16;0;не число;0
0,17;1,38777878078145E-16;1;0
0,18;1,11022302462516E-16;1;0
0,19;5,55111512312578E-17;1;0
0,2;0;не число;0
0,21;5,55111512312578E-17;1;0
0,22;1,38777878078145E-16;1;0
0,23;2,77555756156289E-17;1;0
0,24;1,38777878078145E-16;1;0
0,25;1,38777878078145E-16;1;0
0,26;5,55111512312578E-17;1;0
0,27;1,66533453693773E-16;1;0
