x;absoluteError;relativeError;computation time (milliseconds)
0,005;5,89805981832114E-17;1;0
0,01;2,94902990916057E-17;1;0
0,015;5,89805981832114E-17;1;0
0,02;9,0205620750794E-17;1;0
0,025;1,2490009027033E-16;1;0
0,03;2,08166817117217E-17;1;0
0,035;6,93889390390723E-17;1;0
0,04;4,85722573273506E-17;1;0
0,045;2,77555756156289E-17;1;0
0,05;4,85722573273506E-17;1;0
0,055;9,0205620750794E-17;1;0
0,06;4,85722573273506E-17;1;0
0,065;4,16333634234434E-17;1;0
0,07;5,55111512312578E-17;1;0
0,075;1,66533453693773E-16;1;0
0,08;5,55111512312578E-17;1;0
0,085;1,38777878078145E-16;1;0
0,09;1,11022302462516E-16;1;0
0,095;4,16333634234434E-17;1;0
0,1;5,55111512312578E-17;1;0
0,105;9,71445146547012E-17;1;0
0,11;6,93889390390723E-17;1;0
0,115;2,77555756156289E-17;1;0
0,12;6,93889390390723E-17;1;0
0,125;1,66533453693773E-16;1;0
0,13;2,77555756156289E-17;1;0
0,135;5,55111512312578E-17;1;0
0,14;8,32667268468867E-17;1;0
0,145;1,66533453693773E-16;1;0
0,15;8,32667268468867E-17;1;0
0,155;2,77555756156289E-17;1;0
0,16;5,55111512312578E-17;1;0
0,165;2,77555756156289E-17;1;0
0,17;5,55111512312578E-17;1;0
0,175;1,38777878078145E-16;1;0
0,18;1,38777878078145E-16;1;0
0,185;8,32667268468867E-17;1;0
0,19;5,55111512312578E-17;1;0
0,195;1,11022302462516E-16;1;0
0,2;1,38777878078145E-16;1;0
0,205;1,38777878078145E-16;1;0
0,21;0;не число;0
0,215;1,38777878078145E-16;1;0
0,22;5,55111512312578E-17;1;0
0,225;1,11022302462516E-16;1;0
0,23;5,55111512312578E-17;1;0
0,235;1,11022302462516E-16;1;0
0,24;2,77555756156289E-17;1;0
0,245;2,77555756156289E-17;1;0
0,25;5,55111512312578E-17;1;0
0,255;5,55111512312578E-17;1;0
0,26;1,11022302462516E-16;1;0
0,265;1,66533453693773E-16;1;0
0,27;1,66533453693773E-16;1;0
0,275;0;не число;0
