"  Function";"    N";"   Args";"";"      Val";"    Ideal";"      Abs";"      Rel"
"     Sin_1";   10;-1,5645;2|3 ;   -1,121 ;       -1;   0,1212;   0,1212
"     Sin_1";   10;-1,5583;2|3 ;    -1,12 ;  -0,9999;   0,1201;   0,1201
"     Sin_1";   10; -1,552;2|3 ;   -1,119 ;  -0,9998;   0,1189;   0,1189
"     Sin_1";   10;-1,5457;2|3 ;   -1,117 ;  -0,9997;   0,1177;   0,1178
"     Sin_1";   10;-1,5394;2|3 ;   -1,116 ;  -0,9995;   0,1166;   0,1166
"     Sin_1";   10;-1,5332;2|3 ;   -1,115 ;  -0,9993;   0,1154;   0,1155
"     Sin_1";   10;-1,5269;2|3 ;   -1,113 ;   -0,999;   0,1143;   0,1144
"     Sin_1";   10;-1,5206;2|3 ;   -1,112 ;  -0,9987;   0,1131;   0,1133
"     Sin_1";   10;-1,5144;2|3 ;    -1,11 ;  -0,9984;    0,112;   0,1122
"     Sin_1";   10;-1,5081;2|3 ;   -1,109 ;   -0,998;   0,1108;   0,1111
"     Sin_1";   10;-1,5018;2|3 ;   -1,107 ;  -0,9976;   0,1097;     0,11
"     Sin_1";   10;-1,4955;2|3 ;   -1,106 ;  -0,9972;   0,1086;   0,1089
"     Sin_1";   10;-1,4893;2|3 ;   -1,104 ;  -0,9967;   0,1075;   0,1078
"     Sin_1";   10; -1,483;2|3 ;   -1,102 ;  -0,9961;   0,1063;   0,1067
"     Sin_1";   10;-1,4767;2|3 ;   -1,101 ;  -0,9956;   0,1052;   0,1057
"     Sin_1";   10;-1,4705;2|3 ;   -1,099 ;   -0,995;   0,1041;   0,1046
"     Sin_1";   10;-1,4642;2|3 ;   -1,097 ;  -0,9943;    0,103;   0,1036
"     Sin_1";   10;-1,4579;2|3 ;   -1,096 ;  -0,9936;   0,1019;   0,1026
"     Sin_1";   10;-1,4517;2|3 ;   -1,094 ;  -0,9929;   0,1008;   0,1015
"     Sin_1";   10;-1,4454;2|3 ;   -1,092 ;  -0,9921;  0,09973;   0,1005
"     Sin_1";   10;-1,4391;2|3 ;    -1,09 ;  -0,9913;  0,09864;   0,0995
"     Sin_1";   10;-1,4328;2|3 ;   -1,088 ;  -0,9905;  0,09756;   0,0985
"     Sin_1";   10;-1,4266;2|3 ;   -1,086 ;  -0,9896;  0,09649;   0,0975
"     Sin_1";   10;-1,4203;2|3 ;   -1,084 ;  -0,9887;  0,09542;  0,09651
"     Sin_1";   10; -1,414;2|3 ;   -1,082 ;  -0,9877;  0,09436;  0,09553
"     Sin_1";   10;-1,4078;2|3 ;    -1,08 ;  -0,9867;   0,0933;  0,09455
"     Sin_1";   10;-1,4015;2|3 ;   -1,078 ;  -0,9857;  0,09224;  0,09358
"     Sin_1";   10;-1,3952;2|3 ;   -1,076 ;  -0,9846;   0,0912;  0,09262
"     Sin_1";   10;-1,3889;2|3 ;   -1,074 ;  -0,9835;  0,09016;  0,09167
"     Sin_1";   10;-1,3827;2|3 ;   -1,071 ;  -0,9824;  0,08912;  0,09072
