angle; absoluteError; relativeError
-0,98;0;NaN
-0,96;0;NaN
-0,94;1,11022302462516E-16;1
-0,92;0;NaN
-0,9;0;NaN
-0,88;0;NaN
-0,86;1,11022302462516E-16;1
-0,84;1,11022302462516E-16;1
-0,82;0;NaN
-0,8;0;NaN
-0,78;1,11022302462516E-16;1
-0,76;0;NaN
-0,74;1,11022302462516E-16;1
-0,72;1,11022302462516E-16;1
-0,7;1,11022302462516E-16;1
-0,68;1,11022302462516E-16;1
-0,66;0;NaN
-0,64;1,11022302462516E-16;1
-0,62;0;NaN
-0,6;1,11022302462516E-16;1
-0,58;1,11022302462516E-16;1
-0,56;1,11022302462516E-16;1
-0,54;1,11022302462516E-16;1
-0,52;0;NaN
-0,5;2,22044604925031E-16;1
-0,48;5,55111512312578E-17;1
-0,46;5,55111512312578E-17;1
-0,44;5,55111512312578E-17;1
-0,42;5,55111512312578E-17;1
-0,4;5,55111512312578E-17;1
-0,38;1,11022302462516E-16;1
-0,36;1,11022302462516E-16;1
-0,34;5,55111512312578E-17;1
-0,32;5,55111512312578E-17;1
-0,3;5,55111512312578E-17;1
-0,28;1,11022302462516E-16;1
-0,26;5,55111512312578E-17;1
-0,24;2,77555756156289E-17;1
-0,22;8,32667268468867E-17;1
-0,2;8,32667268468867E-17;1
-0,18;5,55111512312578E-17;1
-0,16;5,55111512312578E-17;1
-0,14;8,32667268468867E-17;1
-0,12;8,32667268468867E-17;1
-0,1;9,71445146547012E-17;1
-0,08;2,77555756156289E-17;1
-0,0599999999999999;5,55111512312578E-17;1
-0,04;4,85722573273506E-17;1
-0,02;5,20417042793042E-17;1
0;6,12303176911189E-17;1
0,02;4,85722573273506E-17;1
0,04;6,93889390390723E-17;1
0,0600000000000001;4,16333634234434E-17;1
0,0800000000000001;4,16333634234434E-17;1
0,1;8,32667268468867E-17;1
0,12;9,71445146547012E-17;1
0,14;8,32667268468867E-17;1
0,16;8,32667268468867E-17;1
0,18;2,77555756156289E-17;1
0,2;2,77555756156289E-17;1
0,22;5,55111512312578E-17;1
0,24;8,32667268468867E-17;1
0,26;5,55111512312578E-17;1
0,28;0;NaN
0,3;5,55111512312578E-17;1
0,32;0;NaN
0,34;0;NaN
0,36;1,11022302462516E-16;1
0,38;1,11022302462516E-16;1
0,4;5,55111512312578E-17;1
0,42;5,55111512312578E-17;1
0,44;0;NaN
0,46;5,55111512312578E-17;1
0,48;5,55111512312578E-17;1
0,5;1,11022302462516E-16;1
0,52;0;NaN
0,54;0;NaN
0,56;0;NaN
0,58;0;NaN
0,6;0;NaN
0,62;0;NaN
0,64;0;NaN
0,66;0;NaN
0,68;0;NaN
0,7;0;NaN
0,72;0;NaN
0,74;0;NaN
0,76;0;NaN
0,78;0;NaN
0,8;0;NaN
0,82;0;NaN
0,84;0;NaN
0,86;0;NaN
0,88;0;NaN
0,9;0;NaN
0,92;0;NaN
0,94;0;NaN
0,96;0;NaN
0,98;0;NaN
