x;absoluteError;relativeError;computation time (milliseconds)
-0,99;1,11022302462516E-16;1,32797670532157E-16;1
-0,98;1,11022302462516E-16;1,3368170256427E-16;0
-0,97;1,11022302462516E-16;1,34591132646958E-16;2
-0,96;0;0;2
-0,95;0;0;2
-0,94;1,11022302462516E-16;1,37479027709364E-16;2
-0,93;0;0;2
-0,92;1,11022302462516E-16;1,39545093507277E-16;2
-0,91;1,11022302462516E-16;1,40622896233672E-16;3
-0,9;0;0;2
-0,89;0;0;2
-0,88;0;0;2
-0,87;0;0;2
-0,86;0;0;2
-0,85;0;0;2
-0,84;0;0;2
-0,83;0;0;2
-0,82;0;0;2
-0,81;0;0;2
-0,8;1,11022302462516E-16;1,54765957759277E-16;2
-0,79;1,11022302462516E-16;1,56291674541969E-16;2
-0,78;1,11022302462516E-16;1,57863715944854E-16;2
-0,77;0;0;2
-0,76;0;0;2
-0,75;0;0;2
-0,74;1,11022302462516E-16;1,64651183193303E-16;2
-0,73;0;0;2
-0,72;1,11022302462516E-16;1,683725861121E-16;2
-0,71;2,22044604925031E-16;3,40646058545032E-16;2
-0,7;0;0;0
-0,69;2,22044604925031E-16;3,48832104591184E-16;0
-0,68;0;0;0
-0,67;0;0;0
-0,66;0;0;0
-0,65;1,11022302462516E-16;1,83451414985914E-16;0
-0,64;0;0;0
-0,63;1,11022302462516E-16;1,88446559127994E-16;0
-0,62;2,22044604925031E-16;3,82153473672227E-16;0
-0,61;0;0;0
-0,6;0;0;0
-0,59;1,11022302462516E-16;1,99550827412868E-16;0
-0,58;0;0;0
-0,57;0;0;0
-0,56;1,11022302462516E-16;2,09008259056934E-16;0
-0,55;0;0;0
-0,54;2,22044604925031E-16;4,31879130288246E-16;0
-0,53;1,11022302462516E-16;2,19614204273677E-16;0
-0,52;5,55111512312578E-17;1,1171940072339E-16;0
-0,51;5,55111512312578E-17;1,13711057993189E-16;0
-0,5;0;0;0
-0,49;5,55111512312578E-17;1,179517587674E-16;0
-0,48;5,55111512312578E-17;1,20211465071298E-16;0
-0,47;0;0;0
-0,46;5,55111512312578E-17;1,25039729554628E-16;0
-0,45;5,55111512312578E-17;1,27621953644406E-16;0
-0,44;5,55111512312578E-17;1,30326386221705E-16;0
-0,43;0;0;0
-0,42;5,55111512312578E-17;1,36136672437796E-16;0
-0,41;0;0;0
-0,4;5,55111512312578E-17;1,42548886891568E-16;0
-0,39;0;0;0
-0,38;0;0;0
-0,37;5,55111512312578E-17;1,53508800577505E-16;0
-0,36;0;0;0
-0,35;5,55111512312578E-17;1,61888323647184E-16;0
-0,34;0;0;0
-0,33;0;0;0
-0,32;5,55111512312578E-17;1,76468697507238E-16;0
-0,31;0;0;0
-0,3;0;0;0
-0,29;1,11022302462516E-16;3,8825472479472E-16;0
-0,28;5,55111512312578E-17;2,00868524018533E-16;0
-0,27;5,55111512312578E-17;2,08116268259812E-16;0
-0,26;5,55111512312578E-17;2,15929018444556E-16;0
-0,25;0;0;0
-0,24;0;0;0
-0,23;0;0;0
-0,22;2,77555756156289E-17;1,27185187894237E-16;0
-0,21;0;0;0
-0,2;2,77555756156289E-17;1,39707399750898E-16;0
-0,19;0;0;0
-0,18;2,77555756156289E-17;1,5503346784842E-16;0
-0,17;0;0;0
-0,16;2,77555756156289E-17;1,74214712840905E-16;0
-0,15;2,77555756156289E-17;1,85732885952201E-16;0
-0,14;0;0;0
-0,13;2,77555756156289E-17;2,14106986436859E-16;0
-0,12;1,38777878078145E-17;1,15926254490665E-16;0
-0,11;0;0;0
-0,1;1,38777878078145E-17;1,39009444672305E-16;0
-0,09;1,38777878078145E-17;1,54406006011961E-16;0
-0,08;1,38777878078145E-17;1,73657523022836E-16;0
-0,07;0;0;0
-0,0599999999999999;0;0;0
-0,0499999999999999;6,93889390390723E-18;1,38835719063825E-16;0
-0,04;0;0;0
-0,03;3,46944695195361E-18;1,15665580788179E-16;0
-0,02;0;0;0
-0,01;0;0;0
0;0;NaN;0
0,01;0;0;0
0,02;0;0;0
0,03;3,46944695195361E-18;1,15665580788179E-16;0
0,04;0;0;0
0,05;6,93889390390723E-18;1,38835719063824E-16;0
0,0600000000000001;0;0;0
0,0700000000000001;0;0;0
0,0800000000000001;1,38777878078145E-17;1,73657523022835E-16;0
0,0900000000000001;1,38777878078145E-17;1,54406006011961E-16;0
0,1;1,38777878078145E-17;1,39009444672305E-16;0
0,11;0;0;0
0,12;1,38777878078145E-17;1,15926254490664E-16;0
0,13;2,77555756156289E-17;2,14106986436859E-16;0
0,14;0;0;0
0,15;2,77555756156289E-17;1,85732885952201E-16;0
0,16;2,77555756156289E-17;1,74214712840906E-16;0
0,17;0;0;0
0,18;2,77555756156289E-17;1,5503346784842E-16;0
0,19;0;0;0
0,2;2,77555756156289E-17;1,39707399750898E-16;0
0,21;0;0;0
0,22;2,77555756156289E-17;1,27185187894237E-16;0
0,23;0;0;0
0,24;0;0;0
0,25;0;0;0
0,26;5,55111512312578E-17;2,15929018444556E-16;0
0,27;5,55111512312578E-17;2,08116268259812E-16;0
0,28;5,55111512312578E-17;2,00868524018533E-16;0
0,29;1,11022302462516E-16;3,8825472479472E-16;0
0,3;0;0;0
0,31;0;0;0
0,32;5,55111512312578E-17;1,76468697507238E-16;0
0,33;0;0;0
0,34;0;0;0
0,35;5,55111512312578E-17;1,61888323647184E-16;0
0,36;0;0;0
0,37;0;0;0
0,38;0;0;0
0,39;0;0;0
0,4;5,55111512312578E-17;1,42548886891568E-16;0
0,41;0;0;0
0,42;1,11022302462516E-16;2,72273344875591E-16;0
0,43;0;0;0
0,44;5,55111512312578E-17;1,30326386221705E-16;0
0,45;5,55111512312578E-17;1,27621953644406E-16;0
0,46;5,55111512312578E-17;1,25039729554628E-16;0
0,47;0;0;0
0,48;5,55111512312578E-17;1,20211465071298E-16;0
0,49;5,55111512312578E-17;1,179517587674E-16;0
0,5;0;0;0
0,51;5,55111512312578E-17;1,13711057993189E-16;0
0,52;5,55111512312578E-17;1,1171940072339E-16;0
0,53;1,11022302462516E-16;2,19614204273677E-16;0
0,54;2,22044604925031E-16;4,31879130288246E-16;0
0,55;0;0;0
0,56;1,11022302462516E-16;2,09008259056934E-16;0
0,57;0;0;0
0,58;0;0;0
0,59;1,11022302462516E-16;1,99550827412868E-16;0
0,6;0;0;0
0,61;1,11022302462516E-16;1,93801027628698E-16;0
0,62;2,22044604925031E-16;3,82153473672227E-16;0
0,63;2,22044604925031E-16;3,76893118255988E-16;0
0,64;1,11022302462516E-16;1,85906145246586E-16;0
0,65;1,11022302462516E-16;1,83451414985914E-16;0
0,66;1,11022302462516E-16;1,81078536832203E-16;0
0,67;0;0;0
0,68;0;0;0
0,69;2,22044604925031E-16;3,48832104591184E-16;0
0,7;0;0;0
0,71;2,22044604925031E-16;3,40646058545032E-16;0
0,72;1,11022302462516E-16;1,683725861121E-16;0
0,73;0;0;0
0,74;1,11022302462516E-16;1,64651183193303E-16;0
0,75;0;0;0
0,76;0;0;0
0,77;0;0;0
0,78;1,11022302462516E-16;1,57863715944854E-16;0
0,79;1,11022302462516E-16;1,56291674541969E-16;0
0,8;1,11022302462516E-16;1,54765957759277E-16;0
0,81;0;0;0
0,82;0;0;0
0,83;1,11022302462516E-16;1,50450715078722E-16;0
0,84;0;0;0
0,85;0;0;0
0,86;1,11022302462516E-16;1,46497845196717E-16;0
0,87;1,11022302462516E-16;1,45254611050806E-16;0
0,88;1,11022302462516E-16;1,44046583741974E-16;0
0,89;0;0;0
0,9;0;0;0
0,91;2,22044604925031E-16;2,81245792467343E-16;0
0,92;0;0;0
0,93;0;0;0
0,94;1,11022302462516E-16;1,37479027709364E-16;0
0,95;0;0;0
0,96;0;0;0
0,97;1,11022302462516E-16;1,34591132646958E-16;0
0,98;1,11022302462516E-16;1,3368170256427E-16;0
0,99;1,11022302462516E-16;1,32797670532157E-16;0
